English,German
nah,Nah
amount,Menge
members,Mitglieder
kate,Kate
manage,verwalten
safety,Sicherheit
returned,ist zurückgekommen
harder,Schwerer
fbi,FBI
block,Block
showing,Zeigen
fancy,schick
chef,Koch
contract,Vertrag
dig,graben
chest,Truhe
good-bye,auf Wiedersehen
drinks,Getränke
dave,Dave
buried,begraben
brian,Brian
trade,handeln
journey,Reise
stomach,Magen
changes,Änderungen
details,Einzelheiten
thoughts,Gedanken
divorce,scheiden lassen
funeral,Beerdigung
maria,Maria
football,Football
reality,Wirklichkeit
theory,Theorie
gosh,Meine Güte
ruined,ruiniert
gate,Tor
william,Wilhelm
spread,Verbreitung
outta,Outta
japanese,japanisch
sudden,plötzlich
coat,Mantel
sooner,früher
cheese,Käse
larry,larry.
spring,Frühling
page,Seite
ears,Ohren
simon,Simon
castle,Schloss
hidden,versteckt
storm,Sturm
cos,Cos
personally,persönlich
artist,Künstler
hill,Hügel
exciting,aufregend
permission,Erlaubnis
jerry,Jerry
expensive,teuer
tickets,Tickets
forest,Wald
barely,nur knapp
eggs,Eier
goin,hineingehen
regret,Reue
lesson,Lektion
lover,Liebhaber
bread,Brot
andy,Andy
subject,Fach
legal,gesetzlich
growing,wachsend
ill,krank
jason,Jason
mood,Stimmung
owner,Eigentümer
caused,verursacht
beeping,Piepton
points,Punkte
dating,datieren.
loss,Verlust
secretary,Sekretär
revenge,Rache
santa,Santa
likely,wahrscheinlich
rent,mieten
connection,Verbindung
assistant,Assistent
reasons,Gründe dafür
yelling,Geschrei
painting,Bild
trees,Bäume
doctors,Ärzte
rush,eilen
foreign,ausländisch
rough,rauh
murderer,Mörder
century,Jahrhundert
nights,Nächte
pair,Paar
runs,läuft
pocket,Tasche
farm,Bauernhof
matt,Matt
bike,Fahrrad
obvious,offensichtlich
ate,aß
grew,wuchs
professional,Fachmann
tim,Tim.
goodness,Güte
parts,Teile
alan,Alan
university,Universität
square,Quadrat
grandfather,Großvater
europe,Europa
genius,Genius
cases,Fälle
ruin,Ruine
winter,Winter
tongue,Zunge
memories,Erinnerungen
da,DA.
buying,Kauf
cancer,Krebs
clock,Uhr
ocean,Ozean
dna,dna.
liar,Lügner
tour,Tour
thief,Dieb
bleep,piepen
lisa,Lisa
rights,Rechte
including,einschließlich
competition,Wettbewerb
smith,Schmied
planned,geplant
emily,emily
boring,langweilig
victims,die Opfer
mentioned,erwähnt
bones,Knochen
plant,"Pflanze, Anlage"
bless,segnen
warning,Warnung
knocking,Klopfen
re,betreffend
crash,Absturz
bedroom,Schlafzimmer
lower,niedriger
silver,Silber-
groaning,Stöhnen
madame,Madame
defense,Verteidigung
results,Ergebnisse
toilet,Toilette
event,Veranstaltung
complicated,kompliziert
shape,Form
priest,Priester
royal,königlich
cheap,billig
romantic,romantisch
downstairs,unten
invite,einladen
fortune,Reichtum
tears,Tränen
avoid,vermeiden
reached,erreichten
higher,höher
familiar,vertraut
telephone,Telefon
burning,Verbrennung
filled,gefüllt
kelly,Kelly.
alice,Alice
airport,Flughafen
jobs,Arbeitsplätze
grown,gewachsen
walter,Walter
rachel,Rachel
giant,Riese
insurance,Versicherung
woods,Wald
n,n
scare,Schrecken
pleased,zufrieden
period,Zeitraum
political,politisch.
player,Spieler
stops,Haltestellen
secrets,Geheimnisse
laura,Laura
repeat,wiederholen
photos,Fotos
finds,finds.
statement,Aussage
suck,saugen
younger,jünger
china,China
humans,Menschen
delicious,lecker
particular,besonders
proper,richtig
rome,Rom
belongs,gehört
attacked,angegriffen
bath,Bad
hired,gemietet
site,Seite? ˅
knowledge,Wissen
b,B
led,LED
guests,Gäste
celebrate,zelebrieren
map,Karte
horn,Horn
eventually,letztlich
pity,das Mitleid
powers,Kräfte
ashamed,beschämt
assume,davon ausgehen
glasses,Brille
rise,erhebt euch
fixed,Fest
request,Anfrage
officers,Offiziere
pounds,Pfund
data,Daten
carefully,sorgfältig
per,pro
depends,kommt darauf an
jury,Jury
waited,gewartet
positive,positiv
attorney,Rechtsanwalt
direction,Richtung
families,Familien
clock,Uhr
doin,doin.
forces,Kräfte
location,Lage
walls,Wände
useless,nutzlos
grant,gewähren
saving,sparen
speaks,spricht
fought,kämpften
meal,Mahlzeit
deliver,liefern
answers,Antworten
changing,Ändern
temple,Tempel
scary,unheimlich
millions,Millionen
offered,angeboten
regular,regulär
carrying,Tragen
official,offiziell
jacket,Jacke
switch,schalten
grave,Grab
chase,jagen
role,Rolle
odd,seltsam
sexy,sexy
faces,Gesichter
becomes,wird
closes,schließt
badly,schlecht
tall,hoch
confused,verwirrt
affair,Affäre
television,Fernsehen
shock,Schock
raised,erzogen
panting,keuchend
pizza,Pizza
image,Bild
clears,klar
golden,golden
patients,Patienten
watched,schaute
committed,engagiert sein
sexual,sexuell
suffer,leiden
arthur,Arthur
wherever,wo auch immer
plate,Teller
appear,erscheinen
chocolate,Schokolade
clever,klug
hm,Hm
mercy,barmherzig
shots,Aufnahmen
lucy,Lucy.
dealing,Umgang
trap,fangen
charges,Gebühren
phil,Phil
bang,Knall
poison,Gift
butt,Hintern
drove,Gefahren
yourselves,euch
headed,geführt
babies,Baber
yellow,Gelb
soup,Suppe
mystery,Geheimnis
picking,Kommissionierung
sat,Sat
wound,Wunde
traffic,Verkehr
courage,Mut
hunt,Jagd
indian,indisch
rat,Ratte
terms,Bedingungen
italian,Italienisch
emma,Emma
checking,Überprüfung
disease,Erkrankung
managed,gelang es
winner,Gewinner
council,Rat
appointment,Termin
monday,Montag
crack,Riss
threat,Bedrohung
jenny,Jenny.
physical,physisch
nation,Nation
source,Quelle
chose,gewählt
healthy,gesund
carl,Gauner
victory,Sieg
rick,Rick.
stood,stand
kicked,treten
annie,Annie
disgusting,widerlich
palace,Palast
below,unter
shopping,Einkaufen
neighborhood,Nachbarschaft
march,Marsch
lips,Lippen
midnight,Mitternacht
piss,Piss
advantage,Vorteil
pure,rein
india,Indien
aside,beiseite
jerk,Trottel
mail,E-Mail
dawn,Dämmerung
effect,Wirkung
spell,buchstabieren
freak,freak.
wood,Holz
screwed,aufgeschmissen
enemies,Feinde
gary,Gary
awake,Erwachen
chuckling,Kichern
vacation,Ferien
violence,Gewalt
leo,Löwe
grandmother,Oma
modern,modern
luke,Luke
firm,Feste
prime,Prime.
heh,Heh
touched,berührt
talent,Talent
whore,Hure
piano,Klavier
license,Lizenz
cooking,Kochen
honour,Ehren
concern,Anliegen
moves,Moves
available,erhältlich
factory,Fabrik
gods,Götter
value,Wert
central,zentral
union,Union
mirror,Spiegel
studio,Studio
media,Medien
taxi,Taxi
dies,stirbt
iron,Eisen
hearts,Herzen
desire,Verlangen
rob,rauben
claire,Claire.
fred,Fred.
songs,Lieder
washington,Washington
monkey,Affe
pride,Stolz
pills,Pillen
miracle,Wunder
swim,schwimmen
burned,verbrannt
smells,Gerüche
joking,scherzen
christian,Christian
bleeding,Blutung
hook,Haken
beating,Prügel
protection,Schutz
treatment,Behandlung
ear,Ohr
carter,Fuhrmann
metal,Metall
disappear,verschwinden
grateful,dankbar
extremely,äußerst
treasure,Schatz
rescue,Rettung
capable,fähig
passing,Vorbeigehen
chatter,geklettert.
result,Ergebnis
suffering,leiden
sisters,Schwestern
laid,gelegentlich
governor,Gouverneur
guards,Wachen
louis,Louis
text,Text
literally,buchstäblich
remove,Löschen
becoming,Werden
performance,Leistung
stronger,stärker
rate,Bewertung
deeply,tief
scream,Schrei
desert,Wüste
vehicle,Fahrzeug
illegal,illegal
pulling,Ziehen
throwing,werfen
josh,Josh
unbelievable,nicht zu glauben
ted,Ted
zero,Null
dean,Dean
curious,neugierig
sean,Sean
candy,Süssigkeit
bone,Knochen
tied,gebunden
edge,Kante
load,Belastung
susan,Susan
ahh,ahh.
mountains,Berge
boom,Boom
former,ehemalige
holiday,Ferien
riding,Reiten
scoffs,Kreuzung
hundreds,hunderte
motherfucker,Motherfucker
sue,verklagen
bags,Taschen
stealing,stehlen
appears,erscheint
arrive,ankommen
remains,Überreste
decent,anständig
issues,Themen
tip,Tipp
fail,Scheitern
bride,Braut
pissed,besoffen
penny,Penny
claim,beanspruchen
friendship,Freundschaft
desperate,verzweifelt
flower,Blume
dramatic,dramatisch
refuse,sich weigern
solve,lösen
theme,Thema
loving,liebend
properly,richtig
dragon,Drachen
mostly,meistens
chuck,Futter
directly,direkt
surface,Oberfläche
FALSE,FALSCH
cast,Gießen
junior,Junior
hunting,Jagd
silent,Leise
thou,du
egg,Ei
germany,Deutschland
punch,schlagen
africa,Afrika
